Age,Arms Position,Body Position,Burial Manner,direction,elevation,Feet position,find date,Findspot,floor,Hands position,head position,Legs position,level,Mortuary Gifts,Museum cat. #,my dating,Original burial #,period,Preservation,Remarks,Sex,square
inf I,,,disturbed ,,,,,"below floor w, D 2.85",,,,,,"1. (3866) grey vase cup 2. (3867) grey vase cup besde the other one , broken",,IIIB,CH75x15,IIIb,,,,CH75
inf I,,,disturbed skull,,,,,below floor D. 2.70,,,,,,1. (3868) grey cup broken beside skull,,IIIB,CH75x16,III,bad,,,CH75
jvn,"right flexed on chest, left ?",dorsal,C.T.,sk 63 w,,natural,,below floor d. 2.95,,right extended to chest,dorsal ,"rigth bent upward at knee, left contracted upwards",,1. (5071) jar at pelvis 2. (3869) 2 copper earring at right ear 3. (dis) lais bead at skull?,,IIIB,CH75x17,III,bad,,,CH75
inf II,,,disturbed,,,,,below floow D. 2.80,,,almost on ventral,,,1. (dis) broken cup jar beside skull,,IIIB,CH75x18,III,bad,,,CH75
adult,"right bend acros body towards elft, left flexed on chest","dorsal, eupper lateral left",C.T. ,sk 66 w,,,,below floor level D. 2.80,,"right clutches beyonf left lower ?, left disturbed on chest",lateral left,contracted towards elft,,1. (3870) copper tube arround ? 2. (3871) copper earring around?,,III,CH75x19,III,bad,,female,CH75
adult young,,,disturbed by x21 probably,,,,,ca floor D. 2.05,,,,,,n/a,,?,CH75x20,III,?,,male,CH75
dult,flexed in front of chest,lateral left,C.T.,sk 65 w,2.05,right pressed down,,ca floor D. 2.05,,clutched at chin,lareral left,contracted,,1. (3872) sprout cup below left knee,,IIIC1,CH75x21 ,III,bad,,male,CH75
adult,"left flexed on chest, right bent towards chest",dorsal,C.T. right side of skull ,,,,,"ca floor level 1, D. 2.05",,"right pressed towards left eye and face, left disturbed near rigith",dorsal leaning towards left,contracted towards left,,"1. (3873) sputed bowl beside left shoulder 2. (3874) vase jar or bowl 3. (3875) copper brcacelet bent flexed , in jar 4. (dis) 5. (3876) breacelet bent in jar, rests on lower leg",,IIIC1,CH75x22,III,bad,,female,CH75
mature,both bent towards uper feumors,"lateral left, upper almost natural",C.T.,,2.05,,,ca floor D. 2.05,,"right curved around left feumor disturbed, left sread ? upper left feumor",almost ventral,contracted,,1. (3877) spout cup lies behind back,,IIIC1,CH75x23,III,bad,,male,CH75
adult young,borh flexed infront of chest,dorsal upper lateral left,C.T. ,SK 40 E,,disturbed,,ca floor D. 1.85,,"right extends in fron of chest, left clutched partly over feuemor?",lateral left,contracted towards left,,n/a,,?,CH75x24,III,bad,,female,CH75
inf I,,,disturbed beside x26,,,,,ca floor D. 1.70,,,,,,n/a,,?,CH75x25,III,bad,,,CH75
inf I,disturbed,lateral right almost ventral,C.T.,,1.70,disturbed,,ca floor D. 1.70,,disturbed,lateral right,contracted,,n/a,,?,CH75x26,III,very bad,,,CH75
adult,both flexed in front of chest,lateral left,C.T.,,2.00,,,ca floor D. 2.00,,"right side of skull, distubed","on base, fragmented","contracted, slightly disturbed",,1. (dis) grey por at back,,?,CH75x27,III,bad,,female,CH75
mature,,ventral,disturbed skull,,,,,below level 1 floor D. 1.95,,,,,,n/a,32-23-155,?,CH75x29,III,bad,,male,CH75
inf I,,,disturbed,,,,,floor level 1 D.2.00,,,,,,n/a,,?,CH75x30,III,,,,CH75
young adult,"flexed on chest, right side",dorsal slightly ?,C.T.,,,"rght natural, toes down",,ca floor level D. 1.70,,left on face,"on base, fragmented slightly?",contracted up,,"1. (3878) grey spout bowl rests beside right foot, 2. (5072) ? bowl stands beside the other one",,IIIC1-2,CH75x31,III,very bad,,male,CH75
inf I,flexed on chest,dorsal,C.T.,sk S,,left pressed down,,"below foor level 1, D. 2.05",,,"dorsal, slightly left",slightly contracted,,1. (dis) creme? fragm bowl ...?,,?,CH75x32,III,bad,,,CH75
inf I,both flexed in front of chest,lateral right,C.T.,sk 60 W,2.05,slightly pressed down,,"below floor level 1, D. 2.05",,,lateral right,contracted,,n/a,,?,CH75x33,III,very badq,,,CH75
adult,,lateral left,disturbed ,,,,,"ca floor level 1, D. 2.05",,,,,,n/a,,"?
",CH75x34,III,bad,,male,CH75
adult advanced,both flexed in front of chest,lateral left,C.T.,sk 68 W,2.25,,,D. 2.25,,"right extneds near chin, leftcurved towards mouth",lateral left,contracted,,1. (5073) copper bracelet on shoulder? 2. (5074) lapis lazuli beads neklace at breast 3. (5075) copper braceelt on right wrist 4. (5076) copper earring at right ?,,IIIB-IIIC,CH75x35,IIIb,bad,,female,CH75
mature,,,disturbed,,,,,D. 2.10,,,,,,n/a,,?,CH75x36,IIIb/c?,,,male,CH75
adult young,disturbed,lateral left,C.T. skull severed,sk 72 w,2.10,,,D. 2.10,,,"lateral left severed, ",contracted towrads left,,1. (5077) grey vase jar rests ca above forehead 2. (dis) grey bowl jar fragment lies in front of mouth 3. (5078) grey vase cip in fron to chest 4. (5079) cup jar rests behind shoulder 5. (5081) copper ?? ,,IIIB,CH75x37,IIIB,bad,,male ,CH75
mature,,,disturbed calabrium ,,,,,D. 1.85,,,,,,n/a,,?,CH75x38,IIIb/c?,very bad,,male,CH75
inf II,,lateral right,C.T.,,2.75,,,ca floor level D. 2.75,,,lateral right slightly bent,,,n/a,,?,CH75x39,IIIb/c?,bad,,,CH75
jvn,both flexed in front of chest,"lateral left, pelvis dorsal",C.T.,,2.90,"natural, right bends towards out or twisted?",,D. 2.90,,"right extends flexed on earht in front of face, left curved across slightly up right tpwards forehead",lateral left,contracted partly on body,,1. (dis) grey bowl jar at shoulder 2. (dis) grey cup[ beside the other  3. (dis) grey cup jar inside the one before 4. (5080) 3 copper earrings at right ? 5. (dis) 2 copper earrings fragbelow skull,,III,CH75x40,IIIb/c?,bad,,,CH75
adult,,disturbed,"disturbed, with x2,x3, x4 and x5",,,,,below floor level 1. D. 2.00,,,,,,n/a,,IIIA-IIIB,CH85x1,IIIb,bad,,female,CH85
adult,,disturbed,"disturbed, with x1-5",,,,,below floor level 1  D.2.00,,,,,,n/a,,?,CH85x2,IIIb?,bad,,male,CH85
inf II,,disturbed,disturbed w x1-5,,,,,"below floor level 1, D. 2.00",,,,,,n/a,,?,CH85x3,IIIb?,bad,,,CH85
,,disturbed,disturbed w x1-5,,,,,"below floor level 1, d. 2.00",,,,,,n/a,,?,CH85x4,IIIb?,bad,,,CH85
mature,,disturbed,disturbed w x1-5,,,,,"below floor level 1, D. 2.00",,,,,,"1. (dis) above x5 broken small bottle  pitcher fragemtnory, crushed",,IIIA,CH85x5,IIIB?,bad,,male,CH85
mature,both flexrd in front of chest,lateral right,,,,,,below level 1 D. 2.15,,"right clutches at forehead, left in front of face",lateral right,contracted,,q. (4256) grey cup jar lies on left side 2. (4257) grey cup lies ... 3. (4258) lapis beads,,IIIB,CH85x6,III,very bad,,female,CH85
mature,,,disturbed skull only,,,,,"below level 1, d. 2.25",,,,,,some,,?,CH85x7,III,bad,,male,CH85
adult,both flrxed in front of chest,"ventral, pevis slightly lateral left",C.T.,sk 75 W,2.25,,,"below level 1, d. 2.25",,"right pressed towards right side of skull, left clutches in front of forehead and vertebrae",ventral,contracted towards right,,1. (dis) small bottle jar lies above pelvis and lower hald of it is disturbed? 2. (dis.) cup ao lies beside ?wheel pot 3. (dis) broken cp jar at left pelvis  4. (4259) 2 beads of she;ll,33-23-85,IIIB,CH85x8,IIIb/c?,bad,1 and 2 perhaps not m.g. of x8????,male,CH85
int I,left flexed below chest,ventral,C.T. entire skull stained green altough no copper object was found,,1.85,,,ca floor level 1 D. 1.85,,,ventral,contracted otwards left,,n/a,,?,CH85x9,III,bad,,,CH85
adult,right or both flexed in front of chest left is slightly below ?,lateral left,C.T.,,2.25,slightly pressed down,,below level 1 D. 2.25,,in front of face,lateral left,contracted,,1. (4260) grey bowl beyond vertebrae 2. (4261) ? earring on right ? 3. (4262) copper bracelet curls around right lower arm 4. (4263) copper bracelet beside ? 5. (dis) copper disturbed fragmen ...? 6. (4264) 2 copper bracelet rings beside 5 in a group 7. (4265) lapis lazuli beads in front of face 8. (4266) disturbed earring small,,IIIA-IIIB,CH85x10,III,very bad,,female,CH85
mature,"right flexed in front of chest towards middle  bone , left slightly bent extends to upper feumor",lateral right,C.T. ,sk 33 w,1.15,"right pressed down, left natural but last ? of toe are pressed and pulled up",,top layer D. 1.15,,"right below m bone, left extends both upper feumor and ? ",lateral right,contracted,,1. (dis) bowl jr small ? 2. (dis) shallow bowl rests in front of face  grey globular 3. (4267) low ? and bowl jar 4. (4268) copper earrings ,,IIIB,CH85x11,III c,bad,,female,CH85
mature,both flexed in front of chest,lateral left,C.T.,,2.30,left pressed down,,"below level 1, D. 2.30",,"right extends in fron of chest..? , left extends below eight leg  curved owards chest",lateral left,contracted,,1. (4269) copper tube broken on right wrist 2. (4270) copper tube rests at ..?,33-23-156,?,CH85x12,III,bad,,male,CH85
adult,,lateral right,C.T. partly disturbed no skull disturbed parts of other x's or x's on top,,2.10,,,"below level 1, D. 2.10",,,,contracted,,1. (4271) broken cup jar in front of chest 2. (4272) copper earrings near cup,,IIIB,CH85x13,III,bad,,female,CH85
adult,,,disturbed with x16..?,,,,,"ca floor level 1 , D. 1.70",,,,,,n/a,,?,CH85x14,III,bad,,male,CH85
inf I,both bent forward,lateral right,C.T.,SKw,2.15,,,below level 1 above walla top of level 2? d. 2.15,,,lateral right,contracted,,1. (4273) remaisn of small bowl of II-III type in front of ..? 2. (4274) grey vase cup broken left side 3. (4275) cup...? ,,IIIA,CH85x15,IIIa,very bad,,,CH85
inf II,,,disturbed skull fragmentory,,,,,below elevl1 D. 1.75,,,,,,"1. (dis) grey cup vase lies besdie skull, bent 2 (4276) grey vase jar in side the other",,IIIB,CH85x16,III,bad,,,CH85
adult,,,disturbed with x14,,,,,ca floor level 1,,,,,,n/a,,?,CH85x17,III,bad,,,CH85
inf I,both bent towards chest,lateral right,C.T.,sk 22 E,2.15,,,"below level 1, D. 2.15",,on lower chest,lateral right,contracted,,"1. (dis) large bowl cup broken in front of face 2. (4277) copper bracelt right lower arm 3. (4278) copper braceler left lower arm 4. (4279) copper wand bent and stained between braclets? 5. (4280) 1b seal, recut, green at right feumor",,IIIB,CH85x18,IIIb/c?,bad,,,CH85
mature,both flexed in front of chest,"dorsal, upper lateral left",C.T.,sk 3 w,,pressed down,,below level 1 D. 1.55,,"in front of face, right curved pressed on down, left curved down in front of left eye and cheek",on base turned left,contracted closely,,n/a,33-23-157,?,CH86x1,III,fair,,male,CH86
jvn,both flexed in front of chest,"lateral left, slightly neutral",C.T.,sk 60 E,2.35,,,"belwo level 1, D. 2.35",,"both clutched, right in front og chin, left in front of face and above right","lateral left, slightly neutral",contracted,,1.(4245) copper spear head ? borken? across vertabrae 2. (4246) vase cup lies right above? 3. (4247) lapis bead necklace in front of chest 4 .(4248) cup jar nroken between right wrist and left knee 5. (4248) cup jar near forehead grey,33-23-86,IIIB,CH86x2,IIIB,ad,,male,CH86
adult,,,disturbed,,,,,"below L1, D. 1.50",,,on left upper ?,,,n/a,,?,CH86x3,III,bad,,male,CH86
adult,both slightly bent in front of body,"lateral left, almost neutral","C.T. enclosed on 3 sides, 4side perhaps destoryed",sk 38 E,2.05,neutral,,below level 1 D. 2.05,,"right curved ober left knww, left slightly curved",lateral left,contracted,,1.(4250) broken cup jar lies in hollow of right elbow,33-23-158,IIIA-IIIB,CH86x4,III,fair,,male,CH86
adult,both flexed in front of chest,lateral right almost dorsal,C.T. ,,1.00,,,D.1.00,,"right curved down over face, pressed against left below right?",lateral right,contracted,,n/a,,?,CH86x5,III c porb,bad,,male,CH86
mature,left flexed torwda chest,dorsal,C.T.,,,,,ca level 2 D. 2.00,,,on base,"right slughtly curls, left curls up",,1. (4251) grey cup jar stained? near left elbow,,IIIB,CH86x6,III,bad,,female,CH86
inf I,,,"disturbed, found w x8",,,,,level 2 D. 2.60,,,,,,n/a,,?,CH86x7,III,bad,,,CH86
adult,,,disturbed found w x7,,,,,level 2 D. 2.80,,,,,,n/a,,?,CH86x8,III,bad,,male,CH86
inf I,right bent towards left side,"lateral right, almost ventral",C.T.,sk 74 W,2.20,right pressed down,,below level1 D. 2.20,,right is in front of chest ,lateral right,contracted towards right,,1. (4252) grey small cup jar in front of chest 2. (4253) copper finger ring on 3rd finger 3. (4254) copper finger ring middle finger,,IIIB,CH86x9,III,bad,,,CH86
inf II,,,C.T. disturbed,,,,,level 2 D. 3.00,,,,,,n/a,,?,CH86x10,IIIb/c?,bad,,,CH86
inf II,,verntral curbed right,C.T. partly disturbed,,2.80,,,level 2 D.2.80,,,,contraced left,,n/a,,?,CH86x11,IIIb/c?,bad,,,CH86
inf II,,,disturbed,,,,,D. 2.70,,,,,,n/a,,?,CH86x12,IIIb/c?,bad,,,CH86
inf II,,,disturbed,,,,,D 2.70,,,,,,n/a,,?,CH86x13,IIIb/c?,,,,CH86
inf I,,,disturbed,,,,,level 2 floor D. 2.70,,,,,,n/a,,?,CH86x14,IIIb/c?,crushed,,,CH86
adult,"right flexed in front fo chest, left bent towards chest elbow and wrist","pevis almost dorsal, uppe body lateral left",C.T.,,0.90,right natural,,top level D. 0.90,,right extends in front of face towards m jar? left slightly flexed inf ront of chest ner right elbow,llateral left,curls ca 90 ,,"1. (4181) alabaster jar globular body back side of neck 2. (4182) grey small jar globular body in frnont of face bent, stained 3. (4183) copper ? rest in jar 2. 4. (4184) bowl jar beside dorehed 5. (4185) bowl jar 6.(4186) beads lapis? 7. (4187) alabaster ? ",,IIIC1,CH87x1,IIIC,very bad,,female,CH87
,both flexed in front of chest,lateral right,C.T.,,1.40,"right pulled up , left pulled up and pressed down",,top layer D. !.40,,close together both curved towards chin,lateral right,contracted,,1.(4295) ? cup (dis) remains lose beind vertebrae? 2. (4296) grey ??? 3. (4297) beads of lapis and ? necklace,,IIIC2,CH87x2,IIIC,bad,,,CH87
adult,left flexed in front of chest,neutral almsot lateral right,C.T.,sk 27 w,1.10,natural,,top layer D. 1.10,,,lateral right,contracted towards left,,1. (3523) alabaster cup broken rim and base 2. (3254) cup tube? in alabaster jar 1 3. (?) bead fragments in jar 1 4. (3525) bowl jar beside jar 1 6.(5147) jar type little girl lies in front of face 7.(3526) silver? earring on left 8.(?) broken ??? 9. (3527) alabaster cup behind pelvis 10. (3528) beads in jar,33-23-123,IIIC1,CH96x1,IIIc,very bad,,male,CH96
"adult, advanced",both flexed in front of chest,lateral right,C.T.,sk 33 W,1.00,"right pressed down, left natural",,top layer D 1.0,,in little asket (goblet?) above right knee,lateral right,contracted,,"1. (3529) alabaster disk above skull 2. (3530) small alabaster cup beside the disk 3. (3531) alabaster rec tube, lies beyond vertebrae 4. (3532) ? alabaster cup in front of chest. 5. (3533)???",,IIIC1,CH96x2,IIIC1,fair,,male,CH96
adult advanced,"leff extends towards knees, right bent across chest towards right ","lateral left, pelvis almost dorsal",C.T.,sk 35 W,1.65,right natural,,"below level 1, D. 1.65",,"left clutched, right bends in front of m pot.",lateral left,contracted,,1. (5008) lying near? purple and yello at left elbow,33-23-159,IIB-IIIA,CH96x3,III,bad,,female,CH96
mature,right flexed in front of chet,lateral left,"C.T. below a very large rock,",sk 45 w,1.45,natural,,below level 1 D. 1.45,,,lateral left,contracted,,n/a,33-23-160,?,CH96x4,III,bad,,male,CH96
mature,"tight bent towards rear, left slightly bent extends toeards left pelvis",dorsal,C.T.,,,,,"below level 1, D.1.60",,"right extends unnaturally across left pelvic bone towards left of pelvis, left at left side of pelvis",inclined towards right,contracted up slightly left,,1. (3534) grey bowl rests at left elbow,33-23-161,IIIB,CH96x5,III,bad,,male,CH96
adult,"left ? right extends at side, ",dorsal,C.T.,,,"right pressed down, left natural",,"below level 1, D. 1.55",,left pressed towards ?,"dorsal, slightly inclined right",slightly contracted,,"1. (3535) small spout bowl below right side, stained?",33-23-162,IIIC1,CH96x6,III,bad,,male,CH96
adult,,,"disturbed found w x8, x9 and x10",,,,,"below level 1, probably disturbed by x6, x8, x11 D. 1.45- 1.55",,,,,,1. (3536) copper earring large size within mandible?,33-23-163,?,CH96x7,III,bad,,female,CH96
inf I,,,"distubed found w x7, x9 x and x10",,,,,"below level 1, probably disturbed by x6, x8, x11 D. 1.45- 1.55",,,,,,n/a,,?,CH96x8,III,bad,,,CH96
jvn,,,"disturbed found w x7,x 8, and x10",,,,,"below level 1, probably disturbed by x6, x8, x11 D. 1.45- 1.55",,,,,,n/a,,?,CH96x9,III,bad,,,CH96
adult,,,"disturbed found w x7, x8, x9",,,,,"below level 1, probably disturbed by x6, x8, x11 D. 1.45- 1.55",,,,,,n/a,,?,CH96x10,III,bad,,female,CH96
senile,"right slightly bent extends towards right feumor, left bent across ?","pelvis dorsal, upper body lareral right",C.T.,sk 60 W,1.45,normal,," below level w, D 1. 45",,right clutched,lateral right,contracted towards right,,n/a,,?,CH96x11,III,very bad,,male,CH96
mature,right bent below chest towards left,ventral,C.T.,SK 35 w,1.30,"left pressed down, right pulled up",," below level 1, D 1.30",,,"thrust back on base, look left",contracted towards left,,n/a,,IIIB-IIIC,CH96x12,III,very bad,,female,CH96
inf I / young,left bent on side,lateral right,C.T.,sk 10 e,1.80,,,"beloew level 1, D 1.80",,,lateral right,contracted,,1. (3537) grey cup on foot/end,,IIIB-IIIC,CH96x13,III,very bad,,,CH96
inf I,extend either side,ventral,C.T.,sk 55 w,1.40,,,"below L1, perhaps same x with 13? D 1.40",,,lateral right,right contracted towards right,,1. (dis) grey cup fragment at pelvis,,?,CH96x14,III,bad,,,CH96
inf I,disturbed,lateral left,C.T.,sk 65 E,1.30,,, ? layers...D 1.30,,disturbed,lateral left,contracted,,1. (dis) cup behind occupant totally below blackened?,,?,CH96x15,IIIC?,bad,,,CH96
adult ,both flexed in front of chest,lateral right,C.T.,sk 60 E,0.70,left pulled up,,top layers D .70,,below m pots in front of face,lateral right,contracted ca 90,,"1. (3538) alabaster plate in front and almost on face 2. (3539) alabaster cup below the disk 3. (3540) alabaster bowl cup in front of face 4. (dis) alabaster jar? loose against left shoulder 5. (3541) groomed, perforated broken neck grey canteen near or on right lower foot 6. (dis) grey jar cup necktoally curshed by right knee 7. (3647) ? 8. 93548) earring??",,IIIC1,CH96x16,IIIC1,bad,,male,CH96
Inf II,flexed right around in front of chest,lateral left,C.T.,,2.35,normal,,layers 2/3 D 2.35,,disturbed,lateral left,contracted,1,1.(3542) grey small bwl stained at ? 2. (3543) grey vase jar small in front of forehead 3. (3544) copper bracelet right lower arm 4. (3545) copper braceelt on left lower arm 6. (3546) lapis beads necklace,,IIIB,Ch96x17,IIIC?,,,,CH96
adult,,,disturbed ,,,,,2nd layer D 1.50,,,,,,1. (3551) copper bracelet curling but open 2. (3552) copper bracelt squirling 3. (3553) grey stained bowl,,IIIB,CH96x19,IIIC?,,,,CH96
inf II,crossed in front of chest,lateral left,C.T. ,sk 65 E,1.60,natural,,2nd layer D 1.60,,disturbed,on base,contracted,,1. (3554) shallow bowl broken behind back 2. (3555) lapis bead in bowl 3. (3556) lapis bead in between right elbow 4. (3557) grey cup jar in bwteen knees,,IIIB,CH96x20,IIIC,bad,,,CH96
adult advanced,,,disturbed skull ,,,,,"level 2, slightly below floow level D 1.85",,,,,,n/a,,?,CH96x21,III,bad,,female,CH96
adult advanced,"right flexed in front of the face, left bent forward to right elbow",lateral right,C.T.,sk 52 w,2.10,left natural,,2nd layer D 2.10,,"right in front of face, left extends across right elbow",lateral right,cotnracted,,1.(3549) grey cup jar lies on left knee 2. (3550) grey bowl sands above right knww,33-23-88,IIIB,CH96x22,IIIB,bad,,male,CH96
adult young,"right bent across belly turned, left bent forward","dorsal, upper body lateral left",C.T.,,,left pressed down,,2nd ;ayer D 1.80,,"right extends across left lowe body, left clutched",lateral left,contracted,,"1.(3558) vase cup lies behind occupant 2.(3559) copper smacehead, globular at chest 3.(3560) copper jar lies in contact and in front of forehead 4.(3561) copper tubular stick above pelvis",33-23-89,IIIB,CH96x23 ,IIIB,fair but disturbed,,male,CH96
advanced,both flexed in front of chest,lateral left pevis almost dorsal,C.T.,sk 40 E,2.05,"right natural, left pressed down",,D 2.05,,right below left ? curved towards mouth,lateral left,contracted,,"1. (3562) copper spatula in front of forehead 2. (3563) cup jar in front of the spatula dn skull 3.(3564) silver? bracelet in fornt of left wrist 4.(3566) ca 60cm above and front of x, a small jar? 5.(3567) copper earrings? 6.(3568) 6 copper earrings at left ear 2 more on chest? ",33-23-90,IIIB,CH96x24,IIIC?,fair,,female,CH96
mature,both extend foreward at 90,"lateral right, pelvis dorsal",C.T.,sk 70 W,1.50,natural,,2nd layer D 1.50,,"right extends, left clutches beyond right pelvis",lateral right,contracted less han 90,,1.(dis) large grey bowl broken at left lower body 2.(dis) cup jar large broken at right below knww,33-23-91,IIIB-IIIC1,CH96x25,IIIC,fair,,male,CH96
adult,both flexed in front of chest,lateral right pelvis almost dorsal,"C.T. vertebrae cap, skull",sk 40 W,1.80,,,below level1 D 1.80,,"right in front fo face, left curved towards forehead",lateral right,contracted,,"1. (5009) grey globular jar, broken at left elbow",,IIIB,CH96x26,IIIB,fair,,male,CH96
inf II,both flexed in front of chest,lateral left almost ventral,C.T.,,1.90,,,below level1 D 1.90,,left curved towards chin,"on base, thrust back slightly looking right",contracted,,1. (3569) grey small cup jar neckring on right knee 2.(dis) broken copper bracelet in hollow of left elbow,33-23-164,IIIB,CH96x27,III,fair,,,CH96
inf II,,ventral,disturbed,,,,,below level 1 D 1.95,,,,,,n/a,,?,CH96x28,III,bad,,,CH96
inf I,right bent out and ?,ventral,C.T. prob distubed x30,sk 35 W,1.80,,,below level 1 D 1.80,,,"riased, on base looks right",disturbed,,1.(3570) broken grey bowl lies at left side 2.(3571) gey cup jar lies beside eight pelvis 3.(dis) eaaring fragment at right ear,,IIIB,CH96x29,III,bad,x lies on top of disturbed x30,,CH96
mature,,,"disturbed by x29 probably, below x29",,,,,"below level 1, D 1.90",,,lateral left,,,n/a,,?,CH96x30,III,bad,,female,CH96
inf II,,,disturbed,,,,,slightly below level 1 D 1.75,,,lateral right,,,n/a,,?,CH96x31,III,bad,,,CH96
adult,,,disturbed by x34?,,,,,2nd layer D 2.05,,,on ventral,,,n/a,,IIIB,CH96x32,IIIA-IIIB,partly crushed?,,female,CH96
ault,,,"disturbed, 3 mix bodies?",,,,,2nd layer D 1.95,,,on ventral,,,n/a,33-23-92,?,CH96x33,IIIC,"fair, crushed",with x23?,female,CH96
adult,bent below right ? body,ventral ,C.T. bones stained and disturbed?,sk 19 W,1.95,narural,,2nd layer D 1.95,,in front of lower body,lateral left,contracted? in front of body,,1.(3572) 2copper earring...? 2.(3573) cup jar lies at right side of lower body 3.(3574) cup beside the cup jar,33-23-93,IIIA-IIIB,CH96x34,IIIA,dair,"skull x32 on tp of it, should it be with x23?",female,CH96
inf II,,,"disturbed, skull",,,,,below level 1 D 1.80,,,on vnetral,,,n/a,,?,CH96x37,III,bad,,,CH96
inf II,,,disturbed with x37,,,,,below level 1 D 1.90,,,on ventral,,,1. (3575) lapis neckalce ,,IIIB,CH96x38,III,bad,,,CH96
adult young,,,disturbed with x37 and x38,,,,,slightly below level1 D 1.75,,,inclined left,,,n/a,,?,CH96x39,III,bad,,male,CH96
adult young,,,disturbed,,,,,level 2 floor D.2.10,,,,,,n/a,,?,CH96x40,IIIC,,,male,CH96
adult,,,disturbed,,,,,level 2 floor D 2.40,,,,,,n/a,,?,CH96x41,IIIc,bad,,male,CH96
adult young,"right flexed at side, left bent across chest towards righg cap boen",dorsal,"C.T. burial roughly oval, round coarse ? wall enclosed the x",sk 52 E,,left pressed down,,,,apparentlt flexed at right cap boen,"on base, ionclined towards left",curls towards right,,"1. (5010) grey bowl jar included lapis lazulis and zigzag, perhaps neck? 2.(5011) grey vase cup lies beside the bowl jar above left pelvis3. (5012) necklace of lapis beads",,IIIB,CH96x42,IIIc,bad,green stanins near right lower arm but no bracelet found,male ,CH96
adult,"right bent acros pelvis, left slightly bent at side",dorsal,C.T. legs disturbed,sk 20 W,,,,level 2 floor D. 2.15,,"right exntends across left pelvis, left dsturbed",on base inclined towards right down,,,1. (?) grey shallow bwol jar lies beside right feumor 2.(5013) grey bowl beyond pelvis stained 3. (5014) grey broken cup is beyond foregead stained,,IIIA-IIIB,CH96x43,IIIA-IIIB,bad,,male,CH96
adult,both flexed in fornt of chest,lateral left,C.T. ,sk 40 E,2.00,,,level 2 floor D 2.00,,exnteds along left skul??,lateral left curled up,contracted,,1. (5015) broken cup jar at head?,,III,CH96x44,IIIC,bad,,male,CH96
inf I,left bent foreward,lateral right,C.T.,sk 50 W,1.90,,,level 2 floor D. 1.90,,,lateral right,conracted,, 1. (5016) grey small cup at forehead broken 2. (5017) cup ?? tupe lies in front of face,,IIIA,CH96x45,,bad,,,CH96
adult,right bent across body towards pelvis left extends along body to left pelvis,dorsal,C.T. partly exdends below x2 (50% above??),,,,,D.90,,"right extends to upper left elbow is pillowing the forehead, left extends towards pelvis","dorsal slightly turned right, almost on base",contracted towadrs left,,1. (4007) tall alabaster cup beyond skull and lies above it 2. (4008) alabaster cup slightly right and lies over ? 3.(4009) grey canteen cylinder above the cup and skull 4.(4010) bone beads in tall cup 5.(4011) grey spouted jar broken between left lower feumor?? 6.(dis) grey jar small on right cap feumor 7.(4012) ??,,IIIC1,CH97X1,IIIC,bad,,,CH97
adut advanced,both flexed on chesst,dorsal slightly lateral left,C.T.,,,slightly pressed down,,top layers D .40,,"rigth extrends on side across left upper feumor, left curves around right neck",lateral left,contracted,,"1.(4013) large grey jar like little girl's lies at right heel 2.(4014) ?bottle at left side of face 3.(4015) copper pin slightly below head, skull ",,IIIC2,CH97x2,IIIC,bad,,female,CH97
inf I,,,C.T. disturbed,,,,,topes D .25,,,,,,"1. (dis) grey cup beside skull fragmented handmade, corase",,IIIC,CH97x3,IIIC,bad,,,CH97
mature,both flexed in front of chest and face,lateral right,C.T.,,0.40,pressed down,,"tops D ,40",,"left pressed against face, right disturbed in front of forehead",lateral right,contrated,,1.(dis) broken bowl jar at foot grey,,?,CH97x4,IIIC,bad,,male,CH97
senile,"right flexed in front of chest, left flexed in front of body",lateral right,C.T.,sk 75 E,0.30,natural,,top layers D .30,,"right covers right face, left extends below knees",lateral right,contracted,,1.(4016) globular cup in front of chin 2.(4017)grey crude bottle jar near left foot,,IIIC2,CH97x5,IIIC,bad partly disturbed,,male,CH97
inf I,,lateral right,C.T. partly disturbed,sk 70 E,0.35,,,top D .35,,,lateral right almsot on base,contracted,,1.(4018 + 4019) cup with knob beneath and lif broken stained in front of forehead,,IIIC2,CH97x6,IIIC,bad,,,CH97
adult,,,"distubred, legs only",,,,,ca floor top level D .95,,,,,,1.(4020) alabaster cup lies near disturbed tibulae 2.(4021) grey ? cup square rim beside the cup,33-23-165,IIIC1-2,CH97x7,IIIC,bad,,female ,CH97
inf I,,,disturbed,,,,,level 2 D 2.45,,,,,,1.(4023) grey jar small at foot  2.(5261) 2 copper earrings near skull,,IIIB,CH97x9,IIIC,bad,,,CH97
inf II,,"lateral right, slightly rusted?",C.T.,sk 60 E,2.45,,,level 1 D. 2.45,,contracted,"dorsal, pusshed back, maybe disturbed",,,1.(?) grey cup at pelvis,,?,CH97x10,IIIC,bad,,,CH97
inf I,,"lateral left, slightly ventral",C.T. partly disturbed,sk 20 E,2.15,,,level2 D.215,,,"lateral left, almost ventral",contracted,,1.(5262) copper tube fragment towrds right of the neck 2.(5263) copper bead fib on right lombar regresion,,III,CH97x11,IIIC,bad,,,CH97
inf I,,lateral right,C.T. partly disturbed,sk 40 E,2.25,,,"level 2, D 2.25",,,lateral right,contracted,,1.(5264) bone beads two found loose on chest 2.(5265) long copper tube/stick? beyond pelvis,,IIIB-IIIC,CH97x12 ,IIIC,bad,,,CH97
