ID,HOBBS_N,KNOWN AS,PLACE,REGION,COUNTRY,LAT,LONG,Loc_Q,D_TPQ,START_D,START_Q,END_D,END_Q,DATE_EP,DATE_LP,YEAR_DISC_START,YEAR_DISC_END,YEAR_DISC_Q,YEAR_DISC_LITERAL,EGW_MIN,EGW_MAX,EGW_Q,AV_Literal,AV_DENOM1,AV_COUNT1,AV_COUNT_Q1,AV_DENOM2,AV_COUNT2,AV_COUNT_Q2,AV_DENOM3,AV_COUNT3,AV_COUNT_Q3,AV_COUNT_TOT,AV_COUNT_TOTAL_Q,AV_C_WT_MIN,AV_C_WT_MAX,AV_C_WT_Q,AR_LITERAL,AR_DENOM1,AR_COINS1,AR_COINS_Q1,AR_DENOM2,AR_COINS2,AR_COINS_Q2,AR_DENOM3,AR_COINS3,AR_COINS_Q3,AR_COUNT_TOT,AR_COUNT_TOTAL_Q,AR_C_WT_MIN,AR_C_WT_MAX,AR_C_WT_Q,AE_COINS,NON_C_MIN,NON_C_MAX,NON_C_Q,METAL_MIN,METAL_MAX,NON_COIN,COMMENT,DISC_CIRC,DISPOSITION,REFERENCE
1062,853,Levesville-la-Chênard/Mérouville,Levesville-la-Chênard/Mérouville,Eure-et-Loir,France,48.300932,1.830996,,260,,?,275,,,260/75,,,,,7.2,7.2,ca. +,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,7.2,7.2,ca.,7.2,7.2,1. AR ring: set with an aureus of Marcus Aurelius. weight(AV): ca. 7.2g. 2. AR/AE coins: uncertain number Ending in Victorinus? AV: ca. 7.2g AR: ?,,,,"Brenot & Loriot 1992, 269, number 33"
920,919,Notre-Dame d'Alençon,Notre-Dame d'Alençon,,France,47.302373,-0.449086,,260,100,ca.,275,,2nd. - early 3rd. ca. AD,260/75,1836,1836,,,402.8,402.8, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,6047.5,6047.5,,6047.5,6047.5,"1. AR mask: 680 g. 2. AR mask: repoussé. 186g. 3. AR dish: plain, graffito on base. 'MINERVAE'. 140g. 4. AR dish: 585g. Dated to 2nd.ca. 5. AR emblema: circular medallion with relief of Apollo. weight not given. 6. AR emblema: complex decoration, central piece man in toga. weight not given. 7. AR dish: engraved. Graffito on base 'MINE'. 114g. 8. AR dish: engraved. Graffito on base 'MINE'. 129g. 9. AR dish: engraved. 412g. 10. AR dish: plain. 126g. 11. AR dish: plain. 137g. 12. AR dish: plain. 125g. 13. AR dish: plain. Graffito on base 'MINERVAE'. 162g. 14. AR dish: plain. Graffito below rim 'MINE/R(vae)'. 166g. 15. AR dish: plain. Graffito 'MINE'. 150g. 16. AR dish: plain. Graffito 'MINER'. 142g. 17. AR dish: plain. Graffito on base 'MINERVAE'. 170g. 18. AR dish: stepped, plain. Graffito on base 'MIN PROC(or) NN [?]'. 172g. 19. AR dish: plain. 88g. 20. AR dish: 7 bossesterces Pointillé decoration. Pointillé inscrip. on rim 'VMIDIAE VRSAE' ('without doubt the name of a donor'.) 146g. 21. AR strainer: Graffito on base. 116g. 22. AR small dish: plain, graffito on base 'MIN' & 'MIR'. 50g. 23. AR plate: plain, Graffito on base 'MINE' & 'MIR'. 192g. 24. AR plate: plain. Graffito on base, 'MINERVAE' & 'MIR'. 230g. 25. AR small dish: plain. Uncertain graffito on base. 88g. 26. AR trulla: plain, deco. handle. 140g. 27. AR trulla: plain, decoration handle, pointillé inscr. on base 'EX AVCT(oritate) D(eae) MINE (rvae) DON(nia?) GAVDIL(la) ET PR(imia?) PRIMILLA L(ibentes) MER (ito) (hedera)'. 325g. 28. AR trulla: plain, decí handle, pointillé inscr. on base 'EX AVCT(oritate) D(eae) MINER(vae) DON(nia?) GAVDILLA ET PR(ima?) PRIMIL(la) L(ibentes) MER(ito) (hedera). 345g. 29. AR vase fragments: 3. repoussé decoration. No weights given. 30. AR vase base: 45g. 31. AR dish handle: 18g. 32. AR handle: 26g. 33-4. AR handles: 11g, 13g. 35-36: AR handles: 23g, 22g. 37. AR mirror handle: decoration. 55g. 38. AR mirror handle: plain. 26g. 39. AR mirror back: plain. Graffito inside concave face 'AV M(i)NERVAE'. 121g. 40. AR mirror back?: engraved animal decoration inside. Inscrip., interp. as Pondo libram unciam? scripula IV. 240g. 41. AR spoon: graffito in bowl 'P X'and on reverse (uncertain). 18g. 42. AR spoon: graffito 'PX'. 16g. 43. AR spoon: plain. 4.5g. 44. AR spoon: plain. 9g. 45-47. 3 AR lamps: in form of busts. No weights given. 48. AR lamp fragment (?): 44g. 49. AR lamp fragment (?): 40g. 50. AR leaf fragment: no weight given. 51. AE female bust: no weight given. 52. AE key: no weight given. Animal head on end. 53. AE mask: no weight given.  54. 4 coins: (said to be from the hoard). Gallienus to Aurelian (see publication for full details). AR: 6047.5g",,"Original report suggested found with coins from Tiberius to Constantine & a red pottery container, but this is unable to be corroborated. Masks & inscriptions suggest that there was a sanctuary of Minerva at or near the site.","Louvre, Paris; Archaeological Museum of St. Jean, Angers","Baratte 1981; Baratte & Painter 1989, 98-105"
1505,1154,Köln-Bickendorf,Köln-Bickendorf,,Germany,50.958008,6.892864,,275,,,296,,,275/96,1923,1923,,,0,0,ca.,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,,,+,0,0,"1. AR spoon: inscribed in bowl ‘ADELFI’. Length: 7cm. weight: not given. 2-3. Glass cups. 4-6. Ceramic jugs: simple with handles. 7. AR plate: small, decorated. weight: not given. 8. 5 AE/AR coins: Hadrian, Gallienus, Postumus, Probus. AR: ?",,,,Fremersdorf 1928
1134,1186,Neupotz,Neupotz,,Germany,49.116652,8.319332,,275,,,296,,Republic,275/96,1980,1983,,1980-83,355.3,355.3,+,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,5335.5,5335.5,+,5335.5,5335.5,"A1. Coins. AR (total 13): Rep. denarii, ca. 49BC (2.89g); antoniniani: Caracalla, ca. 216AD (4.69g); Elagabalus, ca. 218-22 (4.12g, 4.10g); Gordian III, ca. 238-44 (4.59g, 4.23g, 4.35g); Philip I, ca. 244-9 (4.03g, 3.50g); Trajan Decius, ca. 249-51 (4.18g); Volusian, ca. 251-3 (3.35g); Gallienus, ca. 253-68 (2.67g); Probus, ca. 276-82 (4.18g). AE (total 26): Domitian to Divus Marcus Aurelius, illeg. weight estimate: 28.5g (AR only). B. Weapons. 1-13: Fe longswords (including early La Tene) (635g, 572g, 485g, 291g, 505g, 676, 364g, 254g, 458g, 113g, 66g). 14-22: Fe lancepoints (including early La Tene) (137g, 230g, 494g, 242g, 82g, 74g, 42g, 51g, 24g). ca. Votive objects. 1. AE Signum: weight: 160g. 2-3. AR votive fragment: weights: 11g, 4g. 4. AE statue fragment: Mercury’s hand and caduceus. weight: 5g. 5. AE metal sheet panel (from an altar?). weight: 195g. Diameter Tableware. 1. AE cloverleaf container: weight: 635g. 2. AR cloverleaf container fragment: weight: 80g. 3. AE jug: with hinged lid. weight: 1718g. 4. AE pitcher: with Minerva handle. weight: 1680g. 5. AR/AE bowl: with grooved rim and fr. weight: 106g. 6-10. AE flanged bowls: weights: 111g, 255g, 129g, 132g, 192g. 11-2. Pewter bowls: weights: 61g, 80g. 13. AR bowl: oval, flanged, 2 handles. weight: 141g. 14.AR/AE plated plate: with low fr., flanged. weight: 131g. 15. AR/AE plate: weight: 101g. 16. AR plate fragment: concetric circles around a central swastika. weight: 1411g. 17. AR plate: low fr, central niello swastika. weight: 1857g. 18. AR plate fragment: weight: 91g. 19-23. AE plates: weights: 338g, 828g, 957g, 989g, 2005g. 24. Pewter plate: plain, low fr. weight: 327g. 25. AE plate: flanged, low fr. weight: 780g. 26. AE plate: flanged, geom’ decoration & central leaf pattern.weight: 507g. 27-34. AE plates: centra rosettes. weights: 1082g, 1031g, 2101g, 1300g, 836g, 1063g, 1105g, 1063g. 35-6. AE plates: flanged. weights: 553g, 982g. 37-42. AE plates: flanged, low fr. weights: 433g, 494g, 498g, 713g, 533g, 367g. 43-4. AE plate fragments: weights: 91g, 230g. 45-49. AE plates: weights: 1116g, 1139g, 294g, 1240g, 1077g. 50-54. AE plates: weights: 389g, 389g, 425g, 369g, 1428g. 55. AR plate: plain, low fr. weight: 1138g. 56-66. AE plates: ovular, flanged, handles. weights: 376g, 687g, 685g, 585g, 499g, 736g, 193g, 125g, 675g, 892g, 1111g. 67. AE plate: inner part is AR. weight: 129g. 68-71. Pewter plates: ovular. weights: 184g, 290g, 200g, 110g. 72. Cu/brass bound bucket: with handle and low fr. weight: 1397g. 73. AE bowl: with ‘collar’. weight: 717g. 74-5. AE bowls with handles (‘kasserolen’). First has stamps on handle, ‘MAP’, & ‘PS/CCA (?) CPM’. weights: 641g, 486g. 76-89. AE ladles: with suspension holes. weights: 610g, 430g, 282g, 195g, 309g, 461g, 465g, 643g, 633g, 615g, 644g, 615g, 573g, 458g. 90-106. AE strainers/fragments: weights: 337g, 487g, 615g, 279g, 412g, 403g, 586g, 680g, 239g, 314g, 413g, 451g, 471g, 569g, 1011g, 113g, 2g. 107-18. AE basins with spouts: some with decoration. weights: 947g, 385g, 716g, 576g, 804g, 1220g, 1200g, 494g, 1270g, 1351g, 2254g, 1950g. 119-20. AR plate fragments: possibly from a large decoration piece. weights: 12g, 18g. 121. AR spoon: plain offset. Thick, plain handle. weight: 60g. E. Cooking vessels and utensils. 1-6. Cu/Fe cauldron: weights: 1587g, 1811g, 5846g, 2695g, 1121g, 966g. 7-16. Cu saucepans: weights: 1624g, 13144g, 9715g, 3027g, 5007g, 1564g, 1511g, 1325g, 2289g, 2866g. 17-42. Cu saucepans, cooking pots etca. weights: 795g, 1864g, 1376g, 2008g, 2158g, 1722g, 1041g, 673g, 2818g, 951g, 766g, 1501g, 1718g, 1999g, 1854g, 1606g, 1332g, 1989g, 1379g, 1473g, 1161g, 1448g, 1041g, 1158g, 546g, 1062g. 43-50. Cu saucepan fragments: weights: 310g, 15g, 10g, 11g, 95g, 7g, 161g, 106g, 319g. 51-63. Cu saucepan handles & rims: weights: 165g, 874g, 427g, 155g, 174g, 314g, 329g, 316g, 344g, 43g, 58g, 31g, 193g. 64-96. Cu saucepan chains/hooks: weights: 1677g, 1986g, 1862g, 2170g, 11123g, 948g, 887g, 791g, 1259g, 1258g, 615g, 568g, 189g, 349g, 327g, 290g, 178g, 229g, 141g, 425g, 357g, 291g, 95g, 81g, 32g, 334g, 422g, 913g, 302g, 273g, 4041g, 2909g. 97-101. Fe rings (handles): weights: 153g, 89g, 53g, 39g, 50g. 102-8. Cu saucepans: weights: 2151g, 699g, 427g, 637g, 2400g, 1156g, 879g. 109. Cu/Fe situla: of known Rhein type, 5th. century Bca. weight: 962g. 110-12. Cu pans: weights: 499g, 748g, 642g. 113. Cu basin: with 2 ring handles. weight: 847g. 114-27. Cu one-handled basins: weights: 1094g, 1318g, 1967g, 410g, 715g, 403g, 632g, 740g, 881g, 928g, 1272g, 1269g, 959g, 1306g. 128-9. Cu basins: with single handles & spouts. weights: 544g, 1272g. 130-31. Cu mussel form basins: weights: 491g, 690g. 132. Cu bowl with fr.: weight: 517g. 133-5. Cu plate with no fr.: weights: 509g, 790g, 974g. 136-40. Fe spoons/ladles: weights: 104g, 101g, 171g, 67g, 40g. 141-56. Fe large spoons/ladles: weights: 579g, 497g, 510g, 285g, 240g, 131g, 354g, 401g, 1731g, 221g, 258g, 337g, 61g, 19g, 147g. 157-8. Fe tripods: weights: 2402g, 1089g. 159. Fe frying pan: weight: 713g. 160. Fe frying pan handle: weight: 299g. 161-3. Fe frying pans: weights: 1217g, 531g, 142g. 164-7. Fe frying pan handles: weights: 168g, 150g, 360g, 163g. 168. Fe frying pan fragment: weight: 69g. F. 280 Wagon parts: an assortment of hubs, spoke parts, chains, rings and so on; in iron and wood. G. 54 Horse & draught animal equipment: stirrups, harness parts, copper and iron. H. Tools. 1-45. Fe axes: weights: 2922g, 3445g, 1901g, 1835g, 2038g, 1906g, 2332g, 1717g, 2289g, 1351g, 1269g, 1374g, 1549g, 1065g, 316g, 1139g, 361g, 374g, 331g, 331g, 437g, 540g, 558g, 518g, 443g, 504g, 403g, 705g, 701g, 842g, 531g, 416g, 749g, 578g, 660g, 1123g, 431g, 534g, 347g, 1516g, 939g, 1466g, 915g, 641g. 45-48. Fe hatchets: weights: 641g, 1060g, 1087g, 682g. 49. Fe small axe: weight: 116g. 50. Fe axe: weight: 620g. 51-3. Fe axes: weights: 280g, 443g, 224g. 54. Fe spade part: weight: 625g. 55-9. Fe hoes: weights: 300g, 1720g, 1014g, 438g. 60-63. Fe axes: weights: 526g, 835g, 1571g, 667g. 64-71. Fe hammers: weights: 571g, 642g, 606g, 479g, 587g, 3767g, 1475g, 410g. 72-78. Fe chisels: weights: 651g, 373g, 348g, 1027g, 385g, 259g, 193g. 79. Fe square: weight: 809g. 80. Fe bore chisel: weight: 252g. 81-3. Fe crowbars: weights: 356g, 442g, 368g. 84-7. Fe chisels: weights: 609g, 219g, 417g, 273g. 88. Fe awl: weight: 240g. 89. Fe spatchel: weight: 128g. 90-3. Fe bores: weights: 379g, 334g, 394g, 245g. 94-103. Fe drills: weights: 579g, 546g, 573g, 351g, 414g, 265g, 129g, 229g, 89g, 546g. 104-5. Fe saw blades: weights: 153g, -. 106. Fe fret saw: weight: 258g. 107. Fe saw/rasp: weight: 206g.108. Fe file/rasp: weight: 90g. 109-13. Fe files: weights: 118g, 311g, 112g, 64g, 289g. 114-5. Fe loops: weights: 146g, 193g. 116. Fe compass: weight: 331g. 117-20. Fe blacksmiths pliers: weights: 1356g, 545g, 1069g, 754g.121. Fe pliers: weight: 120g. 122. Fe anvil: weight: 2850g. 123. Fe ‘sharp anvils’ (‘Dengelamboß’): weights: 715g, 631g. 125-30. Fe scythe blades: weights: 855g, 182g, 304g, 220g, 30g, 199g. 131-9. Fe cutters/blades: weights: 523g, 528g, 152g, 117g, 99g, 385g, 242g, 54g, 10g. 140-1. Fe vine cutter: weights: 174g, 245g. 142-6. Fe scythes: weights: 335g, 708g, 132g, 224g, 237g. 147. Fe long blade: weight: 354g. 148. Fe draw-blade: weight: 351g. 149-58. Fe scissors: weights: 211g, 141g, 209g, 114g, 57g, 247g, -, 17g, 95g, 51g. 159. Fe shears: weight: 153g. 160-1. Fe forks: weights: 418g, 206g. 162-5. Fe shovels: weights: 254g, 1145g, 1952g, 651g. 166. Fe hammer with nail: weight: 141g. 167-9. Fe nails: weights: 23g, 66g, 35g. I. Boat equipment. 1. Boat hook: weight: 251g. 2-3. Fe oar fittings: weights: 218g, 798g. 4. Fe hook: weight: 1017g. 5-12. Fe/wood points: weights: 604g, 1209g, 313g, 403g, 205g, 188g, 332g, 251g. Also a number of limestone weights for nets, and 5 wooden boat parts. J. Further items/pieces. 1. Cu/Zn mirror: with handle, and bust of Minerva. weight: 1210g. 2. Cu/Zn mirror: plain. weight: 125g. 3. Cu bath dish: weight: 218g. 4-6. AR fittings: weights: 328g, 152g, 436g. 7-9. AR metal frags (Hacksilber): weights: 120g, 61g, 78g. 10-14. AR bits & bobs: weights: 138g, 73g, 65g, 46g, 205g. 15-24. Fe/Cu bells: weights: 1428g, 801g, 412g, 590g, 423g, 777g, 412g, 283g, 73g, 69g. 25-35. Fe/Cu chairs & locks: weights: 1877g, 195g, 565g, 451g, 383g, 52g, 506g, 813g, 179g, 661g, 719g. 36-40. Fe/Cu locks: weights: 264g, 59g, 306g, 488g, 386g. 41-2. Fe keys: weights: 40g, 27g. 43. Fe loop: weight: 78g. 44-50. Fe shackles: weights: 1725g, 603g, 329g, 716g, 301g, 102g, 78g. 51. Hanging lamp: weight: 177g. 52. Fe tripod: weight: 332g. 53-4. Pb weights: weights: 1219g, 253g. 55. Basalt millstone. 56. Fe bar: weight: 5693g. 57-62. Fe spouts: weights: 216g, 116g, 27g, 30g, 18g, 43g. 63. Fe fitting with hinge: weight: 399g. 64. Fe door hinge: weight: 240g. 65-109. Other assorted odds and sods; hooks, bits of iron, pins, bits of pipe, door fittings etca. ; a water spout in the shape of an animal’s head. Also some buckles. K. The ‘K’ section is all modern finds  AR: 5,307g (vessels); 28.5g (coins)+",weight excludes the Cu/Ar vessels,,,Künzl 1993
1880,1220,Sprotbrough,Sprotbrough,Yorkshire,Great Britain,53.512075,-1.188962,,275,275,,296,,275/96,275/96,1980,1980,,,0,0, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,,,+,0,0,"1. AE rods: 114 sections of cut rod. 2. AE tube: 6 sections. 3. AE rods: 12 lengths. 4. AE globules: 4. 5. AE other: 9 blanks, wire, string, sheet, fragments 6. AR coins: 313 barbarian radiates., 186 hammered AE blanks. AR: -",,"found by a metal detectorist, followed by a small excav. on site; possibly with a container",Doncaster Museum,Mattingly & Dolly 1982
1362,1248,Beaurains (Arras),Beaurains (Arras),Pas-de-Calais,France,50.263583,2.787938,,296,69,,318,,69/76,296/318,1922,1922,,,2830.9,2830.9,+,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,4402.86,4402.86,,4402.86,4402.86,"1. AV aurei: 337 in total. 2. AV aurei multiples: 22 in total. 3. AV solidi: 12 in total. 4. AV solidi multiples: 3 in total. (Total weight of AV coins traced: 1954.74g). Estimated weight of other pieces listed by Bastien & Metzger: 613.2g.  5. AR denarii: 81 in total. weight estimate: 164.5g (AR). 6. AR antoniniani: 1 in total. 7. AR quinarii: 16 in total. weight est.: ca. 25.6g. 8. AV necklace: with emeralds. l. 124.5cm. BM 1924.5.14.11. 9. AV necklace: with emeralds. l. 42.3cm. BM 1924.5.14.12. 10. AV necklace: with coloured stones. l. 26.3cm. BM 1924.5.14.13. 11. AV necklace fragment: l. 19.4cm. BM 1924.5.14.14. 12. AV necklace frag: l. 2.5cm. BM 1924.5.14.10. 13. AV bracelet: plain. sold 1936. 14. AV bracelet: plain. sold 1936. 15. AV bracelet: studded. sold 1936. 16. AV bracelet: 47.5g. 17. AV bracelet: as 16, so presumably ca. 47.5g. sold 1936. 18. AV ring: engraved setting, Theseus. BM 1924.5.14.4. 19. AV ring: set with marine stone, inscr. ‘PATERNA’, ‘VALERIANUS’. BM 1924.5.14.3. 20. AV oval pendant: with amethyst. BM 1924.5.14.6. 21. AV circular pendant: with sardonyx. BM 1924.5.14.5. 22. AV pendant or neckalce fragment: with amethyst. BM 1924.5.14.8. 23. AV oval pendant: with topaz. BM 1924.5.14.7. 24. AV rectangular pendant: set with glass. BM 1924.5.14.9. 25. Cameo: sardonyx. Head of Medusa. BM 1924.5.14.2. 26. AV crescent pendant: sold 1936. 27. AV crescent pendant: sold 1936. 28. AV ear-rings (2): sold 1936. 29. AV belt buckle: sold 1936. 30. AV pendant necklace: 6 AV tubes, & medallions of - a. Hadrian (aureus in mount), ‘IOVI VICTORI’. 14.60g. b. Hadrian (aureus in mount), ‘IOVI VICTORI’. weight unknown. ca. Faustina (aureus in mount), ‘VENERI GENETRICI’. diameterCommodos (aureus in mount), ‘HERC ROM COND’. 13.50g. e. Caracalla (aureus in mount), ‘CONCORDIAE AETERNAE’. weight unknown. f. Julia Domna (aureus in mount), ‘LAETITIA’. weight unknown. g. Elagabalus (aureus in mount), ‘P M TR P III COS III P P’. 14.7g. h. Postumus (aureus in mount), ‘HERCVLI NEMAEO’ 13.02g. (Total weight of known jewellery: 150.82g) 31. AR candelabra: incomplete, bent into 3. BM 1924.5.14.1. 1494g.  AV: 2105.56g (listed weights); 613.2g (coin est.) AR: 1494g (item 31);  190.1g (AR coins)","much of the hoard was sold off by the workmen, and above details come from Bastien & Metzger’s reconstructions from sales cats. Only finds thought definitely to belong to the hoard have been listed. They estimate that the hoard originally contained 100 aurei & 100 denarii of the early Empire, 30 - 35 AV multiples, more than 400 aurei & solidi, about 10 argenterei & about 60 quinarii of the late Empire. So they have perhaps suceeded in caloguing a little less than 7/10ths. Wts: AV coins for which weights were not known specifically were based on estimates for similiar coins of similar periods. The denarii estimates were based on the known published weights and the mean silver contents for each period covered.  Plated coins have been excluded.",found approximately 1.5m below the surface by workmen in the clay soil of a brick field. Terracotta vase found to contain a second one of silver (presumably sold off). Distortion of candlestick implies haste?,"The British Museum (8-12, 18-25, 31); Musées Royaux d’Art et d’Histoire, Brussels (16, 30f); Kestner Museum, Hanover (30a); Mrs. Hayford Peirce, Étals-Unis. (30e); Length Vierordt colln. (30g); Newell colln., New York (30h); private colln. (30b); unknown (13-15, 17, 26-29, 30c-d)","TAF II, 63, number 12; Bastien & Metzger 1977; Brenot & Loriot 1992, 271, number 53; Bland 1997, table 4, number 46"
211,1254,Eni Eri,"Eni Eri, Svirkovo",,Bulgaria,42.026837,25.917762,ca.,296,317,ca.,318,?,ca. 317+?,296/318?,1942,1942,,,130.1,130.1,+,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,1959,1959,+,1959,1959,"1. AR ingot: double axe. Inscribed ‘OF MAXIMV FASIRMIS’ (Maximus, silversmith of Sirmium). weight: 633g. 2. AR ingot: double axe. Inscribed ‘OF MAXIMV FASIRMIS’. weight unknown (prob. as above). weight: 631g. 4. Fragment of silver plate, inscribed ‘SIC X SIC XX’, and ‘LICINVS INVICTVS AVG [OB DIEM DECENNA]LIVM SVORVM’. Diameter: 20 cm. weight: 293g. 5. Silver plate, inscribed ‘[LICINVS INVICTVS AVG OB DIEM DECENNALI]VM SVORVM’. Diameter: 20 cm. weight: 400g. 6. Fragment of silver plate (rim), inscribed ‘[LICINVS INVICTVS AVG OB DIEM DECENNALIOR]VM SVORVM’, dimensions unknown. Other dish fragments: 28+  largitio dish fragments, produced for Licinius’ decennalia.  AR: 1959+g",Painter 1970 includes inscriptions of plate fragments,,Haskovo Museum (1-2),"Painter 1965; Guggisberg & Kaufmann-Heinimann 2003, 333, number 2; Wiegels 2003, numbers 84-85"
981,1256,Esztergom/ Solva,Esztergom/ Solva,Komárom,Hungary,47.793355,18.741954,,296,296,,318,,296/318,296/318,1901,1901,,,42.3,42.3, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,635.38,635.38,,635.38,635.38,"1. AR dish: inscription around inside of rim ‘LICINI AVGVSTE SEMPER VINCAS’, in the centre of the dish ‘SIC X SIC XX’, underneath graffiti ‘ERMES VAS F S’ (‘fecit? signavit?). Suspension hole. Diameter: 19.6cm; weight: 317.87g. 2. AR dish: uninscribed, with suspension hole. Diameter: 17.9cm; weight: 317.51g. Total AR weight: 635.38g",,,"National Museum, Budapest","FMRU III, 108; Gazdac 2002, 513; Guggisberg & Kaufmann-Heinimann 2003, 336, number 25"
361,1267,Naissus,Naissus (Nis),,Serbia,43.319329,21.896243,,296,317,,318,,AD 317,296/318,1901,1901,,,101.6,101.6,ca.,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,1525.6,1525.6,ca.,1525.6,1525.6,"1. AR Largitio dish: commemorating the Decennalia of Licinius in AD317. Inscription ‘LICINI AVGVSTE SEMPER VINCAS’, in centre, ‘SIC X SIC XX’. 16.9cm diameter. weight: 309g. 2. AR largitio dish: as 1. 16.9cm diameter. weight 289.0g. 3. AR largitio dish: as 1. 16.8cm diameter. weight: 308g. 4. AR largitio dish: as 1. 18.2cm diameter. I.number 1969.9.4.1. weight: 304.6g. 5. AR largitio dish: as 1. 16.5cm diameter. I.number 1970.568.  weight: 315g. AR: ca. 1525.6g","discovery of the “hoard” in 1901 strongly suggestive of a workshop at Naissus, all six bear the stamp of the town. Seems to be a discrepancy over whether five or six plates were found.",unknown,"Belgrade National Museum (1, 2); Kunsthistorisches Museum, Vienna (3); The British Museum (4); Museum of Fine Arts, Boston (5)","Tait 1970; Noll 1974; Oliver 1978, number 118; Toynbee & Painter 1986"
1691,1269,Nijmegen,Nijmegen area,,Holland,51.842867,5.854622,,296,305,,318,,post 305,296/318,,,,,40.4,40.4, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,606.32,606.32,,606.32,606.32,"1. AR ingot: circular. Inscribed ‘VOTIS XX AVGG NN’, & graffiti ‘CC AA’. weight: 305.89g. 2. AR ingot: circular. Inscribed ‘VOTIS XX AVGG NN’. weight: 300.43g. Total AR: 606.32g",Dating from inscription. Graffiti interpreted as “Colonia Claudia Ara Agrippensium”.,,Leiden Museum,"Painter 1970 [Q]; Salomonson 1961; Wiegels 2003, numbers 55-56"
283,1270,North-West Bulgaria,North-West Bulgaria,,Bulgaria,42.702357,26.136216,ca.,296,296,,318,?,296/318,296/318 (assuming it is Constantius I),,,,,82.8,82.8, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,1242,1242,,1242,1242,"1. Fragment of plate, inscribed ‘CONSTANTIVS PERP TRIVMF AUG’. weight graffiti ‘P II’. Diameter: 24 cm. weight: 600g. 2. Stamped silver bar ‘CONST’, weight: 330g. 3. Stamped silver bar with pointille inscription ‘POLIGER NAIS P I’ and Victory stamp. weight: 312g. Total AR: 1242g",,,"Archäologisches Museum, Sofia","Popovic 1994, 364, number 347-49; Guggisberg & Kaufmann-Heinimann 2003, 333, number 3; Wiegels 2003, numbers 86-87"
483,1276,Šarkamen,Šarkamen,Zajeca,Serbia,44.25,22.35,,296,296,,318,,296/318,296/318,,,,,196.3,196.3, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,196.3,196.3,,196.3,196.3,"1. AV ear-ring: weight: 0.85g. 2. AV ear-ring: with rectangular box setting, grey-green paste. weight: 3.44g. 3. AV necklace: loop in loop chain and lunular pendant. weight: 22.52g. 4. AV necklace: loop in loop chain, pendant medallion. weight: 14.55g. 5. AV composite necklace, consisting of 9 medallions: weights: 11.20g, 4.10g, 4.43g, 3.19g, 3.75g, 4.24g, 4.41g, 4.47g, 3.91g, clasps, 0.9g, 0.35g, 0.39g, 0.44g, 0.39g, 0.47g, 0.42g, 0.96g. 6. AV pendant: leaf shaped. weight: 0.90g. 7. AV finger ring: with fragmentary blue paste setting. weight: 7.83g. AV finger ring: with blue paste setting: weight: 10.12g. 9. AV finger ring: with blue grey paste setting. weight: 2.67g. 10-11. AV 'hair rings': weights 38.69g, 40.47g. 12-20. 9 AV pieces of sheet metal, 4 with impressions of the obverses of solidi of the tetrarchy. weights: 0.94g, 1.01g, 0.73g, 0.36g, 0.43g, 0.80g, 0.29g, 0.74g, 0.95g. Total weight: 196.3g",the busts seem likely to either represent Galerius or Maximinus Daia,found during excavations at the imperial mausoleum. It is thought likely that the mausoleum was erected between AD 308 and 316.,"National Museum, Belgrade","Popovic & Tomovic 1998; Guggisberg & Kaufmann-Heinimann 2003, 335, number 18"
241,1289,Cervenbreg,Cervenbreg,,Bulgaria,42.311777,23.178355,,318,321,,330,,AD321/22,318/30,1952,1952,,,167.5,167.5, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,0,0, ,,2515,2515,,2515,2515,"1. AR dish: flat rim, central rosette. Dated to ca. AD317.weight: 1260g. 2. AR dish: vertical, fluted rim. Central stamped medallion, with portrait of Licinius and inscrip. relating to his decennelia ‘LICINIVS INVICT AVG OB DIEM X SVORVM’. Pointillé inscr. on back ‘O FLAV NICANI MBN’ (last 2 ‘N’s reversed). Graffiti on back ‘Pro Gerontus’. weight: 620g 3. AR dish: vertical, fluted rim. Central stamped medallion, with portrait of Licinius and inscrip. relating to his decennelia ‘LICINIVS INVICT AVG OB DIEM X SVORVM’. Pointillé inscr. on back ‘O FLAV NICANI MBN’ (last 2 ‘N’s reversed). Graffiti on back ‘R’. weight: 635g. Total AR: 2,515.0g",,,"Archaeological Museum, Sofia","Folio Arch. xii 1960; Kent & Painter 1977, 22; Toynbee & Painter 1986"
